System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
09:26:39:432, 59227014670750,    0.110,   64.000, 3500,  21.645,   2.378,   0.661,  19.330,   2.123,   0.590, 85,  0,   1.267,   0.139,   0.039,   0.061,   0.007,   0.002,  22.000,  51.000,  71.000,   0.000,   0.000,   49,   8.295
09:26:39:541, 59227210859395,    0.219,   30.000, 3700,  19.632,   4.518,   1.255,  16.671,   3.940,   1.095, 82,  0,   0.897,   0.237,   0.066,   0.269,   0.036,   0.010,  22.000,  51.000,  71.000,   0.000,   0.000,   63,  10.617
09:26:39:697, 59227492074791,    0.375,    7.000, 1000,   6.397,   5.517,   1.532,   5.014,   4.724,   1.312, 65,  0,   0.418,   0.302,   0.084,   0.075,   0.048,   0.013,  22.000,  51.000,  71.000,   0.000,   0.000,   21,   3.842
09:26:39:805, 59227686934489,    0.483,    6.000, 1000,   1.961,   5.729,   1.591,   0.928,   4.824,   1.340, 63,  0,   0.220,   0.326,   0.091,   0.012,   0.049,   0.014,  22.000,  51.000,  71.000,   0.000,   0.000,    4,   0.000
09:26:39:914, 59227882686517,    0.592,   18.000, 1300,   2.664,   6.019,   1.672,   1.653,   5.004,   1.390, 63,  0,   0.271,   0.355,   0.099,   0.023,   0.052,   0.014,  22.000,  51.000,  71.000,   0.000,   0.000,    3,   0.192
09:26:40:022, 59228078306174,    0.701,   14.000, 1000,   2.309,   6.270,   1.742,   1.243,   5.139,   1.428, 62,  0,   0.277,   0.385,   0.107,   0.020,   0.054,   0.015,  22.000,  51.000,  71.000,   0.000,   0.000,   13,   0.304
09:26:40:131, 59228273698896,    0.809,    7.000, 1000,   2.796,   6.573,   1.826,   1.033,   5.251,   1.459, 61,  0,   0.243,   0.412,   0.114,   0.019,   0.056,   0.015,  22.000,  51.000,  71.000,   0.000,   0.000,    7,   0.118
09:26:40:242, 59228473659283,    0.920,   12.000, 1700,   4.675,   7.093,   1.970,   3.265,   5.614,   1.559, 67,  0,   0.196,   0.434,   0.120,   0.013,   0.057,   0.016,  22.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
09:26:40:352, 59228670913829,    1.030,    2.000, 1000,   1.825,   7.293,   2.026,   0.844,   5.706,   1.585, 61,  0,   0.156,   0.451,   0.125,   0.012,   0.058,   0.016,  22.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
09:26:40:356, 59228678200327,    1.034,   13.000, 1000,   3.151,   7.306,   2.029,   1.870,   5.714,   1.587, 61,  0,   0.452,   0.453,   0.126,   0.317,   0.060,   0.017,  22.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000

Total Elapsed Time (sec) = 1.034036
Measured RDTSC Frequency (GHz) = 1.800

Cumulative Processor Energy_0 (Joules) = 7.305542
Cumulative Processor Energy_0 (mWh) = 2.029317
Average Processor Power_0 (Watt) = 7.065074

Cumulative IA Energy_0 (Joules) = 5.714050
Cumulative IA Energy_0 (mWh) = 1.587236
Average IA Power_0 (Watt) = 5.525967

Cumulative DRAM Energy_0 (Joules) = 0.452515
Cumulative DRAM Energy_0 (mWh) = 0.125699
Average DRAM Power_0 (Watt) = 0.437620

Cumulative GT Energy_0 (Joules) = 0.059692
Cumulative GT Energy_0 (mWh) = 0.016581
Average GT Power_0 (Watt) = 0.057728
